,Validation,Training
0,0.23639999330043793,0.14326000213623047
1,0.30309998989105225,0.2222999930381775
2,0.3528999984264374,0.269320011138916
3,0.3720000088214874,0.3030799925327301
4,0.38510000705718994,0.32850000262260437
5,0.41519999504089355,0.34488001465797424
6,0.41819998621940613,0.3638400137424469
7,0.44200000166893005,0.3828200101852417
8,0.444599986076355,0.3954800069332123
9,0.4498000144958496,0.40880000591278076
10,0.4431000053882599,0.4174799919128418
11,0.47269999980926514,0.4295400083065033
12,0.483599990606308,0.4418399930000305
13,0.4860000014305115,0.44826000928878784
14,0.4900999963283539,0.4589399993419647
15,0.4934999942779541,0.4656600058078766
16,0.5174000263214111,0.4681999981403351
17,0.47870001196861267,0.4778999984264374
18,0.4999000132083893,0.48579999804496765
19,0.5185999870300293,0.49182000756263733
20,0.5364000201225281,0.4963800013065338
21,0.5383999943733215,0.5035200119018555
22,0.5360999703407288,0.5101199746131897
23,0.5565999746322632,0.5168200135231018
24,0.5679000020027161,0.5225800275802612
25,0.569100022315979,0.5250800251960754
26,0.5615000128746033,0.5327000021934509
27,0.569599986076355,0.5419600009918213
28,0.5817999839782715,0.542680025100708
29,0.5864999890327454,0.5511599779129028
30,0.5963000059127808,0.5537400245666504
31,0.5902000069618225,0.5591599941253662
32,0.603600025177002,0.5636000037193298
33,0.6177999973297119,0.5699399709701538
34,0.6230000257492065,0.5741199851036072
35,0.6245999932289124,0.5777199864387512
36,0.6227999925613403,0.5818399786949158
37,0.628000020980835,0.5831000208854675
38,0.6136999726295471,0.5911200046539307
39,0.6240000128746033,0.5938400030136108
40,0.6269000172615051,0.5982400178909302
41,0.619700014591217,0.6027399897575378
42,0.631600022315979,0.6048600077629089
43,0.631600022315979,0.6078600287437439
44,0.6420999765396118,0.610759973526001
45,0.6256999969482422,0.6131399869918823
46,0.6416000127792358,0.6167200207710266
47,0.649399995803833,0.6210200190544128
48,0.6428999900817871,0.623740017414093
49,0.6460000276565552,0.6277400255203247
50,0.6367999911308289,0.6304000020027161
51,0.6434999704360962,0.6332600116729736
52,0.6477000117301941,0.6342599987983704
53,0.6585000157356262,0.636680006980896
54,0.6492999792098999,0.6388000249862671
55,0.661899983882904,0.6406800150871277
56,0.6635000109672546,0.6441599726676941
57,0.6664999723434448,0.6450600028038025
58,0.6565999984741211,0.6472399830818176
59,0.6771000027656555,0.6516199707984924
60,0.6761999726295471,0.6549800038337708
61,0.6686999797821045,0.6558399796485901
62,0.6743000149726868,0.6600000262260437
63,0.677299976348877,0.661080002784729
64,0.6891000270843506,0.6607000231742859
65,0.6930000185966492,0.6622400283813477
66,0.6952999830245972,0.6647800207138062
67,0.6901000142097473,0.6701599955558777
68,0.6855000257492065,0.6710399985313416
69,0.7024000287055969,0.6729199886322021
70,0.6876000165939331,0.6739199757575989
71,0.6904000043869019,0.674019992351532
72,0.6937000155448914,0.6772199869155884
73,0.703499972820282,0.6800400018692017
74,0.6976000070571899,0.6798999905586243
75,0.6978999972343445,0.683899998664856
76,0.7166000008583069,0.6845600008964539
77,0.7084000110626221,0.6861000061035156
78,0.7095000147819519,0.6871399879455566
79,0.7132999897003174,0.6886799931526184
80,0.7129999995231628,0.6909199953079224
81,0.7092999815940857,0.6917399764060974
82,0.7156999707221985,0.6929600238800049
83,0.7055000066757202,0.696619987487793
84,0.7186999917030334,0.697920024394989
85,0.7218999862670898,0.6980000138282776
86,0.7121999859809875,0.6998800039291382
87,0.7181000113487244,0.7019000053405762
88,0.7261000275611877,0.7028999924659729
89,0.727400004863739,0.7025600075721741
90,0.7322999835014343,0.7085400223731995
91,0.7249000072479248,0.7038999795913696
92,0.7318999767303467,0.7081000208854675
93,0.7305999994277954,0.7107599973678589
94,0.718999981880188,0.7089999914169312
